# nbody-bodies-v1
# seed=1234567, n=100, total_mass=1.9890000000000002e+30, radius=299200000000.0
mass,x,y,z,vx,vy,vz
1.989e+28,-218672651525.8751,-122883668586.67406,-156170261888.2321,-15686.503965568736,-8815.071940353759,-11202.888954423206
1.989e+28,-50124141140.95102,-42273437189.09562,170251584688.67648,-7411.03478046422,-6250.279928331816,25172.30992564777
1.989e+28,-99421325315.20332,-76390131339.41064,8605739178.878979,-25711.45699322929,-19755.33488829933,2225.53956197222
1.989e+28,94749988798.95773,186393507324.93326,180176735644.0002,7528.385483584224,14809.945547928268,14315.990305603125
1.989e+28,-96925921987.63115,-215363667103.40292,175147716821.7265,-7004.4640187887035,-15563.504852424068,12657.252624404562
1.989e+28,-120584464461.87917,175558467803.4365,-119907393697.89641,-11497.841727262783,16739.664480765696,-11433.282395203125
1.989e+28,-3537278835.7150044,-218173466103.86902,74575537907.05647,-368.0578132257092,-22701.192800321598,7759.6680038524555
1.989e+28,-246601887443.38226,-87156150227.11269,-51590523456.06865,-20641.90963404534,-7295.440418931877,-4318.4054031125925
1.989e+28,-139550313131.24945,-192622991614.95453,-163725065306.7756,-10361.891478538477,-14302.644620427127,-12156.915459084963
1.989e+28,102524463018.29408,-214238374141.75986,1605384838.3331342,10205.132783346999,-21324.96958325851,159.7976225502233
1.989e+28,166841337397.88885,41392985282.40518,187017817453.51755,15015.046164957927,3725.201407601533,16830.84783741234
1.989e+28,82698250688.86046,210317334587.7493,-12158124023.740055,8849.824383051446,22506.78170709804,-1301.082689672319
1.989e+28,-168070573287.4136,-83734771461.33427,132571967552.07458,-17572.050499160436,-8754.605900808294,13860.613806644096
1.989e+28,158423266651.4337,39944367640.024826,-16392412769.116629,27432.88352794261,6916.8450331042595,-2838.5423412998794
1.989e+28,-181591753414.02737,-5842043280.010494,149448541264.26923,-18336.196021066942,-589.8993138834605,15090.540711043497
1.989e+28,45308066607.4019,-59836780383.60242,-76689001813.885,14851.179938741272,-19613.434405224583,-25137.293434507268
1.989e+28,106291268567.49762,-5344805016.212789,91188387432.1773,23341.65321313865,-1173.7237391334666,20025.04763743195
1.989e+28,211503567336.05978,26455926994.176178,173518691887.37842,16911.963271881148,2115.4331876500437,13874.667841991939
1.989e+28,46142971098.99471,-57558281074.29402,-60115001813.06695,18110.20090434057,-22590.48364544255,-23593.945822512476
1.989e+28,176317367118.65784,76124088790.31052,-187038091949.63956,14635.993520636897,6319.012633336183,-15525.914132128239
1.989e+28,138245097187.07172,15737218266.898478,-206928767564.82828,12791.95550517241,1456.1803632930405,-19147.323422598663
1.989e+28,38197882914.36385,-24285565416.195118,166583615432.9569,6136.311137677826,-3901.362436297822,26760.8782671959
1.989e+28,-139410230988.17178,-108052523580.23273,-13269862441.191496,-21592.074935687837,-16735.34409632039,-2055.2570796671757
1.989e+28,-261566572590.56296,-119874936860.91887,-52665786314.53232,-19050.03541176984,-8730.556697544038,-3835.677794543772
1.989e+28,209180564858.74487,3067365802.755526,76847701168.4059,22906.57941184468,335.8957290962626,8415.30364267112
1.989e+28,74318290944.32498,181895744843.35037,-69320813990.00821,9003.00994505489,22035.07614316176,-8397.609388230967
1.989e+28,-23817087749.705025,-128036479434.76436,224133134365.43695,-2079.214365761773,-11177.491143333466,19566.65893468029
1.989e+28,4213221893.73559,103960454136.46518,33252699497.360165,1344.6758709228184,33179.62303749865,10612.80506579312
1.989e+28,186496050906.66614,-162519807250.73148,-104742720448.46704,15432.858338723827,-13448.784305853571,-8667.634294855536
1.989e+28,-141026838507.64172,-195314722387.26547,74005276379.47731,-12843.199028425344,-17787.152284955813,6739.600091395013
1.989e+28,187875225219.4072,98154937257.48512,-90608576650.18277,19557.53176947289,10217.783113776863,-9432.218188178738
1.989e+28,-106450919316.38708,14078353378.855927,50046010944.22085,-30079.303326210655,3978.0498311863944,14141.25075786305
1.989e+28,-53420300850.7434,-151679092407.00064,202090193576.07947,-4689.514047587153,-13315.185860807464,17740.536585567417
1.989e+28,-88460063279.16331,87823793863.50476,-261307172143.9253,-6542.7060153071725,6495.646092683698,-19326.86846078342
1.989e+28,-140994981624.32022,69045158051.76451,26782569847.558907,-25559.810809492992,12516.624044229357,4855.18995363703
1.989e+28,-60772431542.33732,55016416764.29259,39780170987.607155,-25457.49115180905,23046.304178326303,16663.860984876952
1.989e+28,134352639785.20288,164526254639.663,193615953243.39435,10046.260008499758,12302.501350008724,14477.692520120472
1.989e+28,-104166524826.73299,33678157575.86948,64469805320.997536,-26502.940951804314,8568.685795014288,16402.960993839522
1.989e+28,101326692335.87415,-136266645249.99254,30080370596.88896,16301.642980557253,-21922.853197065848,4839.390795151088
1.989e+28,-71423059223.2801,246128435911.52124,-138018827884.85007,-5240.000983803646,18057.37895217524,-10125.844534874106
1.989e+28,-246204988522.81516,139952472441.4162,-23994461008.819725,-18721.522853961585,10642.040305522089,-1824.548124878799
1.989e+28,-85145164626.16512,160857600107.5904,-73134920862.62785,-11292.943591278341,21334.808761238794,-9700.005155671048
1.989e+28,230807687421.2366,22884103434.65792,19253018651.316315,23684.881251416777,2348.306845628668,1975.694421544567
1.989e+28,65783632159.91629,-138981927364.82278,-43299953544.24559,11871.273790541758,-25080.593112800518,-7813.88297915675
1.989e+28,134097241154.50894,-151610251493.26047,51812095232.51953,16178.349700975803,-18291.231391440022,6250.942884396373
1.989e+28,-220582027356.35037,57111234465.7459,-51300126919.66002,-22516.16460588174,5829.695063952002,-5236.519565393485
1.989e+28,42368898618.51827,-83390826420.93048,-186467913703.67996,5123.348999579791,-10083.819052380826,-22548.148058536666
1.989e+28,14829414727.707603,88614599275.79285,64263558491.089554,4653.845851885592,27809.50515097658,20167.531935860574
1.989e+28,196046555510.63495,-17394936070.110035,3484461207.5674534,25863.25512453196,-2294.8103744254463,459.6842262702394
1.989e+28,-94489529160.00854,-26779048986.17595,111924914495.59337,-18946.996702252014,-5369.722522072465,22443.132108921327
